Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p07,Deep_Sleep_Minutes,mood,,,2,No,,False,False
p07,Deep_Sleep_Minutes,readiness,,,2,No,,False,False
p07,Deep_Sleep_Minutes,sleep_quality,,,2,No,,False,False
p07,Deep_Sleep_Minutes,stress,,,2,No,,False,False
p07,Sleep_Restlessness,fatigue,,,4,No,,False,False
p07,Sleep_Restlessness,mood,,,4,No,,False,False
p07,Sleep_Restlessness,readiness,,,4,No,,False,False
p07,Sleep_Restlessness,sleep_quality,,,4,No,,False,False
p07,Sleep_Restlessness,stress,,,4,No,,False,False
p07,Sleep_Revitalization,fatigue,,,5,No,,False,False
p07,Sleep_Revitalization,mood,,,5,No,,False,False
p07,Sleep_Revitalization,readiness,,,5,No,,False,False
p07,Sleep_Revitalization,sleep_quality,,,5,No,,False,False
p07,Sleep_Revitalization,stress,,,5,No,,False,False
p07,Sleep_Score,fatigue,,,3,No,,False,False
p07,Sleep_Score,mood,,,3,No,,False,False
p07,Sleep_Score,readiness,,,3,No,,False,False
p07,Sleep_Score,sleep_quality,,,3,No,,False,False
p07,Sleep_Score,stress,,,3,No,,False,False
p08,Steps,fatigue,,,5,No,,False,False
p08,Steps,mood,,,5,No,,False,False
p08,Steps,readiness,,,5,No,,False,False
p08,Steps,sleep_quality,,,5,No,,False,False
p08,Steps,stress,,,5,No,,False,False
p08,Exercise_Count,fatigue,,,2,No,,False,False
p08,Exercise_Count,mood,,,2,No,,False,False
p08,Exercise_Count,readiness,,,2,No,,False,False
p08,Exercise_Count,sleep_quality,,,2,No,,False,False
p08,Exercise_Count,stress,,,2,No,,False,False
p08,Exercise_Duration,fatigue,,,5,No,,False,False
p08,Exercise_Duration,mood,,,5,No,,False,False
p08,Exercise_Duration,readiness,,,5,No,,False,False
p08,Exercise_Duration,sleep_quality,,,5,No,,False,False
p08,Exercise_Duration,stress,,,5,No,,False,False
p08,Exercise_Distance,fatigue,,,2,No,,False,False
p08,Exercise_Distance,mood,,,2,No,,False,False
p08,Exercise_Distance,readiness,,,2,No,,False,False
p08,Exercise_Distance,sleep_quality,,,2,No,,False,False
p08,Exercise_Distance,stress,,,2,No,,False,False
p08,Exercise_Calories,fatigue,,,3,No,,False,False
p08,Exercise_Calories,mood,,,3,No,,False,False
p08,Exercise_Calories,readiness,,,3,No,,False,False
p08,Exercise_Calories,sleep_quality,,,3,No,,False,False
p08,Exercise_Calories,stress,,,3,No,,False,False
p08,Sleep_Hours,fatigue,,,6,No,,False,False
p08,Sleep_Hours,mood,,,6,No,,False,False
p08,Sleep_Hours,readiness,,,6,No,,False,False
