Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p04,Sleep_Score,fatigue,0.2674629988823289,0.0212351846650279,74,Yes,0.15469607570543467,False
p04,Sleep_Score,mood,0.1508263694654426,0.1995898950934007,74,Yes,0.5071101954139392,False
p04,Sleep_Score,readiness,0.2014151148392889,0.0852826859710466,74,Yes,0.32470578554094043,False
p04,Sleep_Score,sleep_quality,0.3383379477370651,0.0031939677830677,74,Yes,0.06221583077433957,False
p04,Sleep_Score,stress,0.197796598991723,0.091166339871559,74,Yes,0.3316752053692905,False
p05,Steps,fatigue,0.2371956877738484,0.0591340791538739,64,Yes,0.27103119612192206,False
p05,Steps,mood,0.0226039614470569,0.8592804087933619,64,Yes,0.9463217694014057,False
p05,Steps,readiness,0.305911225541022,0.0139596050822596,64,Yes,0.12085398844363635,False
p05,Steps,sleep_quality,0.0570979238773227,0.6540474913055149,64,Yes,0.8613160624938823,False
p05,Steps,stress,-0.017328437991441,0.8918960450145003,64,Yes,0.9630813334983206,False
p05,Exercise_Count,fatigue,0.0724805651858195,0.5539517387822844,69,Yes,0.8131002759206215,False
p05,Exercise_Count,mood,-0.0672636556294194,0.5829031961820273,69,Yes,0.8315210498251542,False
p05,Exercise_Count,readiness,0.1279942074922373,0.2945950123138591,69,Yes,0.6107457572360494,False
p05,Exercise_Count,sleep_quality,-0.0046184480860691,0.9699563467298256,69,Yes,0.9847005257246328,False
p05,Exercise_Count,stress,-0.0727756130827414,0.5523351471411863,69,Yes,0.8131002759206215,False
p05,Exercise_Duration,fatigue,0.0850558141760465,0.4871305129446704,69,Yes,0.7693699824379507,False
p05,Exercise_Duration,mood,-0.1726841625856898,0.1559277851007675,69,Yes,0.44309096662383196,False
p05,Exercise_Duration,readiness,0.1100771889773662,0.3679044006752799,69,Yes,0.6744914012380132,False
p05,Exercise_Duration,sleep_quality,0.0740654348147159,0.5452948016025442,69,Yes,0.8092867293625061,False
p05,Exercise_Duration,stress,-0.1046756271777175,0.3920137267753047,69,Yes,0.6941909744979354,False
p05,Exercise_Distance,fatigue,0.0243144247386092,0.8428023037954007,69,Yes,0.9441439795128967,False
p05,Exercise_Distance,mood,0.1920409434381683,0.1139187229248815,69,Yes,0.3763745792747852,False
p05,Exercise_Distance,readiness,0.0354932337512741,0.7721727755830713,69,Yes,0.9292293572688372,False
