Participant,Target,Feature,Importance
p01,sleep_quality_next_day_change,Sleep_Hours_abs_z,0.09556353457454686
p01,sleep_quality_next_day_change,Sleep_Hours_7d_mean,0.004752695675442607
p01,sleep_quality_next_day_change,Sleep_Hours_7d_std,0.008565693537161778
p01,sleep_quality_next_day_change,Sleep_Hours_1d_change,0.017149969975276843
p01,sleep_quality_next_day_change,Sleep_Duration_Score,0.003841365297735388
p01,sleep_quality_next_day_change,Sleep_Duration_Score_deviation,0.004731235255002714
p01,sleep_quality_next_day_change,Sleep_Duration_Score_z,0.0056341849916719386
p01,sleep_quality_next_day_change,Sleep_Duration_Score_abs_z,0.024777154101043253
p01,sleep_quality_next_day_change,Sleep_Duration_Score_7d_mean,0.01338050707833427
p01,sleep_quality_next_day_change,Sleep_Duration_Score_7d_std,0.010831150945566635
p01,sleep_quality_next_day_change,Sleep_Duration_Score_1d_change,0.016873859210834216
p01,sleep_quality_next_day_change,Deep_Sleep_Minutes,0.010652455870797016
p01,sleep_quality_next_day_change,Deep_Sleep_Minutes_deviation,0.012064499943482626
p01,sleep_quality_next_day_change,Deep_Sleep_Minutes_z,0.012683074607987671
p01,sleep_quality_next_day_change,Deep_Sleep_Minutes_abs_z,0.03429821418486648
p01,sleep_quality_next_day_change,Deep_Sleep_Minutes_7d_mean,0.0035599773167554042
p01,sleep_quality_next_day_change,Deep_Sleep_Minutes_7d_std,0.01558626492255967
p01,sleep_quality_next_day_change,Deep_Sleep_Minutes_1d_change,0.015242421696701572
p01,sleep_quality_next_day_change,Sleep_Restlessness,0.019464713690927185
p01,sleep_quality_next_day_change,Sleep_Restlessness_deviation,0.020699970565560593
p01,sleep_quality_next_day_change,Sleep_Restlessness_z,0.018444069961643873
p01,sleep_quality_next_day_change,Sleep_Restlessness_abs_z,0.0240225308325375
p01,sleep_quality_next_day_change,Sleep_Restlessness_7d_mean,0.011651398413176207
p01,sleep_quality_next_day_change,Sleep_Restlessness_7d_std,0.010120999612241976
p01,sleep_quality_next_day_change,Sleep_Restlessness_1d_change,0.006548104013344121
p01,sleep_quality_next_day_change,Sleep_Composition,0.0024720720452378066
p01,sleep_quality_next_day_change,Sleep_Composition_deviation,0.0022624415003636208
p01,sleep_quality_next_day_change,Sleep_Composition_z,0.0014627178132372587
p01,sleep_quality_next_day_change,Sleep_Composition_abs_z,0.003143669944763195
p01,sleep_quality_next_day_change,Sleep_Composition_7d_mean,0.0037027310469886616
p01,sleep_quality_next_day_change,Sleep_Composition_7d_std,0.02342337889825583
p01,sleep_quality_next_day_change,Sleep_Composition_1d_change,0.008206757631921833
p01,sleep_quality_next_day_change,Sleep_Revitalization,0.002917830717676751
p01,sleep_quality_next_day_change,Sleep_Revitalization_deviation,0.003759729224656708
p01,sleep_quality_next_day_change,Sleep_Revitalization_z,0.0026313623275216135
p01,sleep_quality_next_day_change,Sleep_Revitalization_abs_z,0.004083962691272661
p01,sleep_quality_next_day_change,Sleep_Revitalization_7d_mean,0.0036682062550689744
p01,sleep_quality_next_day_change,Sleep_Revitalization_7d_std,0.005043471253002945
p01,sleep_quality_next_day_change,Sleep_Revitalization_1d_change,0.008466677094265742
p01,sleep_quality_next_day_change,Sleep_Score,0.03552715499656337
p01,sleep_quality_next_day_change,Sleep_Score_deviation,0.031978224720143916
p01,sleep_quality_next_day_change,Sleep_Score_z,0.033223123497433595
p01,sleep_quality_next_day_change,Sleep_Score_abs_z,0.01495687737494341
p01,sleep_quality_next_day_change,Sleep_Score_7d_mean,0.009465227000196435
p01,sleep_quality_next_day_change,Sleep_Score_7d_std,0.01248372931033092
p01,sleep_quality_next_day_change,Sleep_Score_1d_change,0.03173243222240908
p01,stress_next_day_change,Steps,0.01385821568304899
p01,stress_next_day_change,Steps_deviation,0.007729844219633928
p01,stress_next_day_change,Steps_z,0.011256558001489695
p01,stress_next_day_change,Steps_abs_z,0.031102485328053393
p01,stress_next_day_change,Steps_7d_mean,0.009687597102289695
p01,stress_next_day_change,Steps_7d_std,0.008597714052052525
p01,stress_next_day_change,Steps_1d_change,0.007763655380413231
p01,stress_next_day_change,Exercise_Count,0.0004167638178554042
p01,stress_next_day_change,Exercise_Count_deviation,0.0005158563599843099
p01,stress_next_day_change,Exercise_Count_z,0.00025880997456354963
p01,stress_next_day_change,Exercise_Count_abs_z,0.003959826386041153
p01,stress_next_day_change,Exercise_Count_7d_mean,0.0013330755498161331
p01,stress_next_day_change,Exercise_Count_7d_std,0.05662119361577241
p01,stress_next_day_change,Exercise_Count_1d_change,0.003120061636674031
p01,stress_next_day_change,Exercise_Duration,0.002281864130084341
p01,stress_next_day_change,Exercise_Duration_deviation,0.0013373505934342247
p01,stress_next_day_change,Exercise_Duration_z,0.006056789920366395
p01,stress_next_day_change,Exercise_Duration_abs_z,0.008735736106356582
p01,stress_next_day_change,Exercise_Duration_7d_mean,0.004140391792518627
