Participant,Behavior_Variable,Targets,Mean_Total_Importance,Mean_Relative_Importance,Max_Relative_Importance,Top3_Target_Count
p10,Sleep_Revitalization,5,0.06962716489603278,0.06962716489603307,0.07956885359518133,0
p10,Exercise_Calories,5,0.0645636628091546,0.06456366280915486,0.09283859369578348,0
p10,Exercise_Avg_HR,5,0.05094966080422164,0.05094966080422185,0.07028996731201559,0
p10,Exercise_Duration,5,0.04850778780387318,0.04850778780387338,0.06273347887438324,0
p10,Sleep_Composition,5,0.03607030865928023,0.03607030865928038,0.043640232273614084,0
p10,Exercise_Count,5,0.024507175339015468,0.02450717533901557,0.03544233741688585,0
p10,Exercise_Distance,5,0.015055517929147852,0.015055517929147916,0.026588099737225344,0
p11,Steps,5,0.2309335551498073,0.23093355514980826,0.4163331387968269,3
p11,Sleep_Restlessness,5,0.0929181192030368,0.09291811920303719,0.2430947052338963,1
p11,Sleep_Composition,5,0.08166776054837374,0.08166776054837409,0.18631237845092177,1
p11,Exercise_Duration,5,0.08015555379915144,0.08015555379915178,0.1632039309587722,1
p11,Deep_Sleep_Minutes,5,0.0735269400516031,0.07352694005160341,0.11645564220219737,2
p11,Sleep_Score,5,0.07301946692698931,0.07301946692698962,0.09746005612266422,1
p11,Exercise_Calories,5,0.06351698900390293,0.06351698900390321,0.1062002267192934,1
p11,Exercise_Avg_HR,5,0.06182949323645478,0.06182949323645505,0.1617502572451017,1
p11,Exercise_Distance,5,0.06095608323407067,0.060956083234070944,0.15756941147708262,2
p11,Sleep_Revitalization,5,0.0586677694969157,0.05866776949691595,0.11791164915564709,1
p11,Sleep_Hours,5,0.05741539356689836,0.0574153935668986,0.11015131445939925,0
p11,Sleep_Duration_Score,5,0.04973131835303571,0.049731318353035917,0.0886778160998559,1
p11,Exercise_Count,5,0.01566155742975592,0.015661557429755987,0.01849927932120518,0
p12,Steps,5,0.2952730213119966,0.2952730213119972,0.3899912302698095,5
p12,Exercise_Avg_HR,5,0.24722818700123983,0.24722818700124033,0.34046228518555066,4
p12,Exercise_Calories,5,0.18086146075659335,0.1808614607565937,0.21046751822162243,4
p12,Exercise_Duration,5,0.1323543688474798,0.13235436884748006,0.16405094410856802,2
p12,Exercise_Count,5,0.10244692274182751,0.10244692274182773,0.147138609365876,0
p12,Exercise_Distance,5,0.040615840037387274,0.04061584003738736,0.06847120016049706,0
p12,Sleep_Hours,5,0.0012201993034736411,0.0012201993034736435,0.002853135309408605,0
p12,Deep_Sleep_Minutes,5,0.0,0.0,0.0,0
p12,Sleep_Composition,5,0.0,0.0,0.0,0
p12,Sleep_Duration_Score,5,0.0,0.0,0.0,0
p12,Sleep_Restlessness,5,0.0,0.0,0.0,0
p12,Sleep_Revitalization,5,0.0,0.0,0.0,0
p12,Sleep_Score,5,0.0,0.0,0.0,0
p13,Steps,5,0.1502116123841582,0.15021161238415884,0.2014723519096248,4
p13,Sleep_Hours,5,0.1206989762474516,0.12069897624745211,0.18161897350678669,4
p13,Exercise_Calories,5,0.11407684524987553,0.11407684524987602,0.1982357587490422,2
p13,Deep_Sleep_Minutes,5,0.1033129908791077,0.10331299087910813,0.1460254397444854,2
p13,Sleep_Restlessness,5,0.0961257291090882,0.09612572910908859,0.19134347066559437,1
p13,Exercise_Avg_HR,5,0.07670242364340504,0.07670242364340538,0.11085989419318477,1
p13,Exercise_Duration,5,0.07266359546678411,0.07266359546678443,0.1384417933393014,1
p13,Sleep_Composition,5,0.06189474341568406,0.06189474341568433,0.09359834006197708,0
p13,Sleep_Duration_Score,5,0.05435994962224629,0.05435994962224651,0.07065503383137128,0
p13,Sleep_Revitalization,5,0.05307765535956872,0.053077655359568945,0.09642118010883709,0
p13,Sleep_Score,5,0.05014534675351349,0.050145346753513696,0.06815118267436152,0
p13,Exercise_Count,5,0.04131143472633518,0.041311434726335354,0.06114634515467245,0
p13,Exercise_Distance,5,0.00541869714277764,0.005418697142777663,0.008347804777846834,0
p14,Deep_Sleep_Minutes,5,0.14243950863658883,0.14243950863658944,0.18266195321619264,4
p14,Sleep_Restlessness,5,0.12037311208234154,0.12037311208234205,0.15160869215020126,3
p14,Sleep_Score,5,0.10651591441429113,0.1065159144142916,0.1298077432650748,3
p14,Exercise_Avg_HR,5,0.09749934349370372,0.09749934349370412,0.15274282853160648,2
p14,Sleep_Duration_Score,5,0.08137475081473858,0.08137475081473892,0.11267946753862146,1
p14,Steps,5,0.07676265557919264,0.07676265557919297,0.09177840466901423,0
p14,Sleep_Hours,5,0.07647576267860212,0.07647576267860245,0.09950252545351676,0
p14,Exercise_Duration,5,0.07046055867742619,0.07046055867742648,0.13710077296624498,1
p14,Exercise_Calories,5,0.0694107202462667,0.069410720246267,0.08231933318739149,0
p14,Sleep_Revitalization,5,0.06522587747432383,0.06522587747432414,0.12606720656551818,1
p14,Sleep_Composition,5,0.0544373007398173,0.05443730073981753,0.06965390682770249,0
p14,Exercise_Count,5,0.02575072715045138,0.025750727150451493,0.03508764786409006,0
p14,Exercise_Distance,5,0.013273768012251743,0.013273768012251799,0.028626015243040218,0
p15,Steps,5,0.15532806451976747,0.15532806451976816,0.2912146862805247,3
p15,Sleep_Revitalization,5,0.10513365656651479,0.10513365656651526,0.136250634994043,4
p15,Deep_Sleep_Minutes,5,0.0988448778568674,0.09884487785686782,0.18474367922621526,2
p15,Sleep_Restlessness,5,0.09334647071060628,0.09334647071060669,0.18375836701038908,1
p15,Sleep_Hours,5,0.07947497265680023,0.07947497265680059,0.10104685320173634,2
p15,Sleep_Score,5,0.07583806067938323,0.07583806067938356,0.1282326032746122,2
p15,Exercise_Avg_HR,5,0.06908209378975828,0.06908209378975858,0.08541857841810377,1
p15,Sleep_Duration_Score,5,0.06561926781747593,0.06561926781747622,0.07721662870837291,0
p15,Exercise_Distance,5,0.0627898983876433,0.06278989838764357,0.07867746690810343,0
p15,Exercise_Duration,5,0.06100117596774698,0.06100117596774725,0.07864253075895294,0
p15,Exercise_Calories,5,0.06091640882276508,0.06091640882276535,0.07469235183911703,0
p15,Sleep_Composition,5,0.04529610567522872,0.04529610567522892,0.059758308818203376,0
p15,Exercise_Count,5,0.02732894654943794,0.02732894654943806,0.03398644893393215,0
p16,Sleep_Restlessness,5,0.17988929139741064,0.17988929139741122,0.2512259357222387,4
p16,Steps,5,0.17751402336685707,0.17751402336685768,0.20022680654313038,5
p16,Deep_Sleep_Minutes,5,0.14287416848441312,0.14287416848441364,0.21228145466923318,2
p16,Sleep_Hours,5,0.13767713107831137,0.13767713107831187,0.18801968097913974,2
p16,Sleep_Revitalization,5,0.11268008993967234,0.11268008993967274,0.17909204440308776,1
p16,Sleep_Score,5,0.10066536839627474,0.10066536839627509,0.12437171740330233,1
p16,Sleep_Duration_Score,5,0.08156675806239819,0.08156675806239846,0.09733767711853483,0
p16,Sleep_Composition,5,0.04896992709480376,0.04896992709480393,0.05919958956339952,0
p16,Exercise_Duration,5,0.005283275561450658,0.005283275561450676,0.007310280433763835,0
p16,Exercise_Calories,5,0.005145496874597015,0.005145496874597032,0.008005527729314626,0
p16,Exercise_Avg_HR,5,0.004014361145003256,0.004014361145003269,0.009538368329602458,0
p16,Exercise_Count,5,0.00372010859880439,0.0037201085988044025,0.01331855463467023,0
