Participant,Variable,Status,First_10_Days_All_Missing,Total_Missing,Total_Rows,Missing_Percent
p12_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,82.0,83,98.79518072289156
p13_daily_merged,Steps,Available,False,20.0,68,29.411764705882355
p13_daily_merged,Exercise_Count,Available,False,0.0,68,0.0
p13_daily_merged,Exercise_Duration,Available,False,0.0,68,0.0
p13_daily_merged,Exercise_Distance,Available,False,0.0,68,0.0
p13_daily_merged,Exercise_Calories,Available,False,0.0,68,0.0
p13_daily_merged,Exercise_Avg_HR,Available,False,47.0,68,69.11764705882352
p13_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,33.0,68,48.529411764705884
p13_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,37.0,68,54.41176470588235
p13_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,33.0,68,48.529411764705884
p13_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,37.0,68,54.41176470588235
p13_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,37.0,68,54.41176470588235
p13_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,37.0,68,54.41176470588235
