Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR,Analysis,Objective_Variable,Wellness_Variable,Time_Lag,Sensitivity_Threshold
p03,Sleep_Composition,sleep_quality,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Composition,stress,-0.2190711403735419,0.272262812414224,27,Yes,0.5848127235627724,False,False,same_day,,,,
p03,Sleep_Revitalization,fatigue,-0.0441630509830249,0.8268636805183421,27,Yes,0.9313858729242903,False,False,same_day,,,,
p03,Sleep_Revitalization,mood,0.0825035027905688,0.6824560524047252,27,Yes,0.8863065615645781,False,False,same_day,,,,
p03,Sleep_Revitalization,readiness,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Revitalization,sleep_quality,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Revitalization,stress,0.0475602087509498,0.813766925867458,27,Yes,0.9286917721652733,False,False,same_day,,,,
p03,Sleep_Score,fatigue,0.2449738522001202,0.2181134997008426,27,Yes,0.5220602856756463,False,False,same_day,,,,
p03,Sleep_Score,mood,0.3173188061057737,0.1067851049531247,27,Yes,0.3629362727865641,False,False,same_day,,,,
p03,Sleep_Score,readiness,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Score,sleep_quality,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Score,stress,-0.016460693626095,0.935052045818618,27,Yes,0.973136155762784,False,False,same_day,,,,
p04,Steps,fatigue,0.0056527629339995,0.9624126593645173,72,Yes,0.9842856743500745,False,False,same_day,,,,
p04,Steps,mood,0.4232972274453322,0.0002116300843083,72,Yes,0.010024582940919473,True,True,same_day,,,,
p04,Steps,readiness,0.1323518705068651,0.2677444094230343,72,Yes,0.5806505264595924,False,False,same_day,,,,
p04,Steps,sleep_quality,0.229720102576347,0.0522375489876865,72,Yes,0.25619496796706515,False,False,same_day,,,,
p04,Steps,stress,0.2652306119200524,0.0243437586817356,72,Yes,0.16598017283001545,True,False,same_day,,,,
p04,Exercise_Count,fatigue,-0.0476220023954107,0.691190853386836,72,Yes,0.8919140254108158,False,False,same_day,,,,
p04,Exercise_Count,mood,0.1578138617951386,0.1855121545143891,72,Yes,0.48362733420530035,False,False,same_day,,,,
p04,Exercise_Count,readiness,0.0370960834391621,0.7570414110447002,72,Yes,0.9096883708842638,False,False,same_day,,,,
p04,Exercise_Count,sleep_quality,0.2476647405954758,0.0359472485683605,72,Yes,0.2073879725097721,True,False,same_day,,,,
p04,Exercise_Count,stress,0.2399617157938564,0.0423285590460907,72,Yes,0.22278188971626686,True,False,same_day,,,,
p04,Exercise_Duration,fatigue,-0.0027417218803809,0.981764214180019,72,Yes,0.9872489304603543,False,False,same_day,,,,
p04,Exercise_Duration,mood,0.0954329969464661,0.4252036797874167,72,Yes,0.7261542918570683,False,False,same_day,,,,
p04,Exercise_Duration,readiness,0.0765210602511731,0.5229031264426756,72,Yes,0.7997853227851772,False,False,same_day,,,,
p04,Exercise_Duration,sleep_quality,-0.0154867925199687,0.8972645651257132,72,Yes,0.9579336994224696,False,False,same_day,,,,
p04,Exercise_Duration,stress,0.1464335192245696,0.2196675985049567,72,Yes,0.5230180916784684,False,False,same_day,,,,
p04,Exercise_Distance,fatigue,0.0730410126299953,0.5420327995859942,72,Yes,0.8116963720921709,False,False,same_day,,,,
p04,Exercise_Distance,mood,0.3133769914604018,0.0073526957191337,72,Yes,0.09190869648917124,True,False,same_day,,,,
p04,Exercise_Distance,readiness,0.1994042872343636,0.0930936688746244,72,Yes,0.3427329885619387,False,False,same_day,,,,
p04,Exercise_Distance,sleep_quality,0.2244683752318796,0.0580116525532098,72,Yes,0.2636893297873173,False,False,same_day,,,,
p04,Exercise_Distance,stress,0.2875604242013985,0.0143134006997861,72,Yes,0.12268629171245228,True,False,same_day,,,,
p04,Exercise_Calories,fatigue,0.0110837799633517,0.926375624610326,72,Yes,0.9707161981493039,False,False,same_day,,,,
p04,Exercise_Calories,mood,0.1824835325637089,0.1249710312579687,72,Yes,0.38918314232585405,False,False,same_day,,,,
p04,Exercise_Calories,readiness,0.1083647014895067,0.3648911849218081,72,Yes,0.6729550541590723,False,False,same_day,,,,
p04,Exercise_Calories,sleep_quality,0.0959898833343795,0.4224946458456101,72,Yes,0.724418292781824,False,False,same_day,,,,
p04,Exercise_Calories,stress,0.2425779492808153,0.0400635866548255,72,Yes,0.21527526452770124,True,False,same_day,,,,
p04,Exercise_Avg_HR,fatigue,0.0737778981192455,0.5820481991273865,58,Yes,0.8271138780495642,False,False,same_day,,,,
p04,Exercise_Avg_HR,mood,0.204758308897362,0.1231140815333518,58,Yes,0.38607203268298473,False,False,same_day,,,,
p04,Exercise_Avg_HR,readiness,0.1598167928967233,0.2307793439717477,58,Yes,0.5365005655458464,False,False,same_day,,,,
p04,Exercise_Avg_HR,sleep_quality,0.3047719098314524,0.0200085648873182,58,Yes,0.14882403635195354,True,False,same_day,,,,
p04,Exercise_Avg_HR,stress,0.2601070846405783,0.0486233393558948,58,Yes,0.24584834505789507,True,False,same_day,,,,
p04,Sleep_Hours,fatigue,0.0335868990158089,0.7794119150593529,72,Yes,0.9169666891946486,False,False,same_day,,,,
p04,Sleep_Hours,mood,-0.0985604929982714,0.4101185663713967,72,Yes,0.7125612157031989,False,False,same_day,,,,
p04,Sleep_Hours,readiness,0.0196343556952382,0.8699649705848231,72,Yes,0.9456140984617643,False,False,same_day,,,,
p04,Sleep_Hours,sleep_quality,0.1211216809473572,0.3108205835717824,72,Yes,0.6302851111490556,False,False,same_day,,,,
